BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
6,8176,8200,25,69026906,71910076,69,0.7677
19,21864,21888,25,54674498,56300082,54,0.73676
5,7243,7267,25,110320607,112045991,110,0.68045
4,5273,5297,25,41610894,44177870,41,0.6462
24,25245,25269,25,27444828,28907154,27,0.56875
9,11377,11401,25,1658328,3524770,1,0.50599
5,6413,6437,25,16545450,21389684,16,0.49379
17,19677,19701,25,8562796,10140780,8,0.48733
2,1911,1935,25,1247436,3172895,1,0.47577
11,14362,14386,25,51784891,55496607,51,0.47544
2,1954,1978,25,4421299,6047203,4,0.466
1,1678,1702,25,143615536,145222792,143,0.46388
21,22992,23016,25,14280156,16758470,14,0.4358
10,13118,13142,25,54582753,56464919,54,0.39142
11,14205,14229,25,35988982,37783495,35,0.38707
18,20610,20634,25,10931741,12620198,10,0.38694
11,14403,14427,25,57502540,59622185,57,0.37974
25,26150,26174,25,40862647,42851121,40,0.37072
21,23279,23303,25,40072235,41921714,40,0.3665
3,4624,4648,25,108355081,110014389,108,0.3605
17,19579,19603,25,562366,2904301,0,0.36001
3,4029,4053,25,64012709,65743652,64,0.35141
24,25020,25044,25,6346211,7968526,6,0.33923
21,23164,23188,25,29326891,31035761,29,0.33681
20,22118,22142,25,8111091,9514679,8,0.33082
6,7524,7548,25,12044622,13502824,12,0.32839
9,12205,12229,25,82355820,83837068,82,0.32812
3,4530,4554,25,101669577,102849379,101,0.32583
7,9127,9151,25,31729491,33494379,31,0.32392
1,181,205,25,17448939,20296459,17,0.3238
25,26046,26070,25,33852697,35164634,33,0.31644
3,3551,3575,25,15145012,18607477,15,0.31208
10,12695,12719,25,16487469,18251738,16,0.3119
19,21937,21961,25,59147851,60637541,59,0.30711
23,24815,24839,25,44074073,45882034,44,0.30552
1,1257,1281,25,109079423,110781251,109,0.29976
1,26,50,25,2211567,3628012,2,0.29937
20,22473,22497,25,41158406,43243387,41,0.29925
11,13745,13769,25,2545204,3765380,2,0.29168
20,22042,22066,25,3321125,4907906,3,0.29149
11,13823,13847,25,7322722,8713134,7,0.28808
22,23837,23861,25,16794296,18628331,16,0.28547
26,26498,26522,25,28368749,29896827,28,0.28228
3,4076,4100,25,67255114,68681709,67,0.2818
7,10019,10043,25,110791024,111973235,110,0.28166
2,3199,3223,25,121992956,123795837,121,0.28042
28,27472,27496,25,12593367,14651368,12,0.27862
9,11641,11665,25,25793691,28400169,25,0.27818
22,24148,24172,25,46969215,48603179,46,0.27809
13,16343,16367,25,46079192,47256972,46,0.27795
11,14306,14330,25,46701073,48545880,46,0.27758
27,27080,27104,25,25606547,27804403,25,0.27534
29,28303,28327,25,37782301,40782098,37,0.27115
3,4374,4398,25,89918282,91557958,89,0.27071
2,2071,2095,25,14979824,16527366,14,0.26732
8,11134,11158,25,94906646,96991143,94,0.26555
3,4275,4299,25,83692702,85388059,83,0.26524
6,8696,8720,25,113673073,114829908,113,0.26275
9,12110,12134,25,71939142,74823338,71,0.26257
12,15806,15830,25,88245784,90179467,88,0.26192
21,23030,23054,25,17927006,19767713,17,0.25748
4,5762,5786,25,83779701,85635270,83,0.25557
7,9005,9029,25,22236584,24014128,22,0.24923
6,8391,8415,25,92623916,94399135,92,0.24671
3,4575,4599,25,105173273,106574782,105,0.24205
7,9894,9918,25,99215474,102658777,99,0.242
6,8471,8495,25,98879044,100428424,98,0.24155
7,9383,9407,25,52224595,55655916,52,0.24151
1,809,833,25,68507419,70996099,68,0.24125
2,2817,2841,25,78405537,80542965,78,0.24101
6,8209,8233,25,72475809,74084829,72,0.2403
4,5389,5413,25,51792757,54001910,51,0.23736
4,4982,5006,25,16714670,18926575,16,0.23721
1,356,380,25,32961952,34492226,32,0.23687
14,17267,17291,25,41343032,44254668,41,0.2367
12,15716,15740,25,81184160,83073114,81,0.23571
22,23637,23661,25,1319636,3073232,1,0.23486
5,6548,6572,25,33374776,36122701,33,0.23146
9,11995,12019,25,59595970,61209187,59,0.23099
6,8438,8462,25,95951343,98033602,95,0.22919
5,6234,6258,25,2129114,3783948,2,0.22756
4,4850,4874,25,6842949,8155616,6,0.2266
21,23325,23349,25,43524083,46145471,43,0.22552
11,14547,14571,25,70363411,72940410,70,0.22509
4,5013,5037,25,19444028,20811685,19,0.2234
28,27799,27823,25,40343865,41996812,40,0.22294
6,8257,8281,25,78289101,81042351,78,0.22228
10,13334,13358,25,77105887,79496312,77,0.22224
28,27399,27423,25,6575192,8080087,6,0.21872
20,22088,22112,25,6233716,7601770,6,0.21806
1,757,781,25,64864266,66344261,64,0.21722
10,13423,13447,25,84632536,86079641,84,0.21439
6,8049,8073,25,56770486,60173472,56,0.21321
12,15385,15409,25,49006756,50676062,49,0.21302
16,19420,19444,25,71208967,72931875,71,0.21126
6,8144,8168,25,66235480,67752994,66,0.21123
23,24858,24882,25,47198837,48910189,47,0.21076
26,26190,26214,25,2687667,4731392,2,0.21027
27,26945,26969,25,15816386,17297967,15,0.2091
4,6067,6091,25,111140851,112647052,111,0.20769
24,25334,25358,25,33581573,35667926,33,0.20731
7,9868,9892,25,96765614,99024444,96,0.20683
23,24709,24733,25,34284231,37292633,34,0.20623
4,5563,5587,25,66649741,68599650,66,0.20436
20,22773,22797,25,65637410,67655585,65,0.20363
2,3164,3188,25,118824462,120542406,118,0.20323
24,25571,25595,25,56197050,57950814,56,0.20276
8,10060,10084,25,571625,3046464,0,0.20238
2,1981,2005,25,6183129,8340148,6,0.20201
14,17623,17647,25,76348124,78014439,76,0.2019
8,10174,10198,25,10545968,13269109,10,0.20129
7,9258,9282,25,41445679,43224755,41,0.20087
22,24037,24061,25,37730087,39414833,37,0.20027
25,26113,26137,25,38037275,39992746,38,0.19993
1,1191,1215,25,102538612,104344681,102,0.19986
6,8359,8383,25,90730485,92195532,90,0.19936
14,16933,16957,25,9673842,11079567,9,0.19928
10,13053,13077,25,49624848,51307984,49,0.19888
27,27186,27210,25,34943234,36342691,34,0.1988
9,11846,11870,25,47246008,50132049,47,0.19828
7,8979,9003,25,19827852,21972429,19,0.1977
6,7791,7815,25,35922378,38825835,35,0.19559
16,18991,19015,25,33047843,34938163,33,0.19452
9,12153,12177,25,76618632,80015418,76,0.19376
16,18932,18956,25,28557616,30682132,28,0.19317
25,25796,25820,25,13113762,15035075,13,0.19279
4,5830,5854,25,89648770,91597847,89,0.1927
6,7755,7779,25,31442288,33685443,31,0.19154
13,16184,16208,25,32710351,35352877,32,0.19127
19,21352,21376,25,15230115,16578349,15,0.19106
4,5875,5899,25,92795803,94973039,92,0.19104
10,12911,12935,25,37656583,40109742,37,0.19095
6,8602,8626,25,107882431,109282748,107,0.18904
14,17142,17166,25,27155254,29444378,27,0.18638
22,23696,23720,25,5651405,6992794,5,0.18509
3,3966,3990,25,59537128,61193516,59,0.18475
16,19219,19243,25,54271046,56834127,54,0.18465
18,20866,20890,25,34049189,35638202,34,0.18377
10,13301,13325,25,72339726,75821328,72,0.1829
8,10597,10621,25,49626726,51369892,49,0.18285
4,5150,5174,25,30969541,33855422,30,0.18273
8,10351,10375,25,27710954,29915312,27,0.18268
10,13386,13410,25,81695290,83613368,81,0.18263
15,17809,17833,25,11236826,13792186,11,0.18223
3,4171,4195,25,75388417,77160399,75,0.1818
22,24265,24289,25,56711180,58347597,56,0.1811
28,27366,27390,25,3785867,5563242,3,0.18061
1,546,570,25,47102513,49318678,47,0.17847
5,6794,6818,25,63983082,67408071,63,0.17749
20,22365,22389,25,32970200,34667591,32,0.17623
27,27052,27076,25,23853503,25501920,23,0.17609
16,18733,18757,25,4305200,8868238,4,0.17581
11,14790,14814,25,95637394,98001705,95,0.17527
12,15238,15262,25,30668435,33535830,30,0.17481
24,25276,25300,25,29301773,30760990,29,0.17401
4,5722,5746,25,80545103,82643040,80,0.17396
1,498,522,25,43541278,45452593,43,0.17385
11,14883,14907,25,103164589,104790820,103,0.17377
3,4456,4480,25,96729115,98306933,96,0.17319
2,2396,2420,25,39056934,41428478,39,0.17302
15,18163,18187,25,39349430,41926810,39,0.1729
9,12021,12045,25,61292190,64130815,61,0.17276
15,18047,18071,25,30573210,32068089,30,0.17263
6,8497,8521,25,100565163,101800858,100,0.17259
6,8110,8134,25,62834920,65344756,62,0.17198
27,26802,26826,25,2472812,6630869,2,0.17167
2,3260,3284,25,126860673,128973530,126,0.17159
14,17682,17706,25,81864817,84553454,81,0.17152
1,641,665,25,55107953,57590207,55,0.17062
6,7479,7503,25,8654534,10659718,8,0.16864
1,434,458,25,39595785,41000663,39,0.16831
19,21299,21323,25,9352943,12189952,9,0.16804
7,9509,9533,25,64318437,66281885,64,0.16803
27,27246,27270,25,38699737,40916876,38,0.16778
18,20733,20757,25,22300133,23792727,22,0.16733
1,983,1007,25,84424501,86910584,84,0.16707
7,9550,9574,25,67202130,69672142,67,0.16695
18,20963,20987,25,41617350,43502109,41,0.16689
10,13148,13172,25,57065593,58775845,57,0.1661
26,26329,26353,25,14729936,16791783,14,0.16604
6,7648,7672,25,20568920,22576164,20,0.16559
23,24909,24933,25,50421129,51795496,50,0.16533
5,6376,6400,25,12338455,15083929,12,0.16429
26,26619,26643,25,38060272,40959791,38,0.16426
19,21762,21786,25,48007453,49559687,48,0.16406
1,947,971,25,81656974,83154570,81,0.16404
24,25413,25437,25,39923238,42236118,39,0.16352
12,15609,15633,25,66877440,68657690,66,0.16337
5,6441,6465,25,21876606,24512405,21,0.16266
1,1464,1488,25,127377010,129170050,127,0.16249
20,22837,22861,25,69749218,71296022,69,0.16246
2,2354,2378,25,34679700,37358592,34,0.16244
21,23552,23576,25,65586228,67515244,65,0.16119
22,24098,24122,25,42284451,44266173,42,0.16079
13,16100,16124,25,25057651,26794137,25,0.16012
24,25604,25628,25,58635630,61235733,58,0.15962
21,23229,23253,25,35965453,37879697,35,0.15951
28,27555,27579,25,19126695,21622448,19,0.15896
18,20928,20952,25,39480387,40994643,39,0.15808
7,9963,9987,25,107247666,108756176,107,0.15801
14,17198,17222,25,32153693,34930139,32,0.15771
25,25714,25738,25,5860370,8165854,5,0.15764
5,6266,6290,25,4334771,5693439,4,0.15761
10,12669,12693,25,14616020,16412340,14,0.15733
27,26980,27004,25,18002487,19793968,18,0.15729
7,9171,9195,25,35192245,37180616,35,0.15633
1,874,898,25,75146323,77248361,75,0.15629
8,10784,10808,25,64593005,67460654,64,0.15598
8,11177,11201,25,98470411,100537840,98,0.15537
12,14944,14968,25,1725598,3400624,1,0.1553
6,8737,8761,25,115813300,117712436,115,0.15432
20,22340,22364,25,28957856,32878037,28,0.1543
6,8000,8024,25,52448258,55077357,52,0.15426
18,21083,21107,25,51896291,53970861,51,0.15414
15,17759,17783,25,5371776,7989843,5,0.15359
19,21787,21811,25,49627477,51478494,49,0.15304
11,14700,14724,25,86497486,88537653,86,0.15263
28,27444,27468,25,9520934,11960495,9,0.15183
3,3723,3747,25,33249890,35113194,33,0.15066
