BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
26,26404,26428,25,20444634,22557427,20,1.78287
10,12984,13008,25,44417569,45941254,44,0.82137
6,8066,8090,25,59565686,61810659,59,0.69015
6,8035,8059,25,55616565,58473731,55,0.62661
19,21591,21615,25,34836416,36437188,34,0.59397
13,16729,16753,25,76932968,78184563,76,0.57033
26,26465,26489,25,26171235,27638508,26,0.51015
17,19687,19711,25,9392845,10703771,9,0.49474
8,10167,10191,25,9962339,11885989,9,0.48735
3,4382,4406,25,90353180,92427474,90,0.47028
4,5304,5328,25,44671762,46205276,44,0.46777
7,9268,9292,25,42052923,43884451,42,0.44059
14,17127,17151,25,25962036,27916840,25,0.43446
5,7294,7318,25,114290454,116005043,114,0.41655
7,9626,9650,25,74946127,76615793,74,0.40976
24,25547,25571,25,53531725,56197050,53,0.40387
5,6801,6825,25,65184723,68294607,65,0.39932
23,24858,24882,25,47198837,48910189,47,0.38308
25,26121,26145,25,38856905,40553104,38,0.37893
10,12577,12601,25,7791755,10761181,7,0.37458
12,15444,15468,25,52767067,53986983,52,0.37235
6,7874,7898,25,43037439,44672692,43,0.36822
10,13334,13358,25,77105887,79496312,77,0.36802
21,23227,23251,25,35777432,37522232,35,0.35983
10,12698,12722,25,16686511,18420234,16,0.35827
5,6756,6780,25,58638702,62435307,58,0.35177
22,24311,24335,25,59984067,61258859,59,0.34569
14,17039,17063,25,18670379,20606100,18,0.34282
6,7399,7423,25,842324,3056780,0,0.33437
2,3006,3030,25,106526130,108369627,106,0.32889
9,11393,11417,25,2934964,5045079,2,0.32557
10,12625,12649,25,12412780,13606664,12,0.32379
1,1127,1151,25,97642612,99374603,97,0.31949
12,15306,15330,25,39022698,44501711,39,0.31423
23,24791,24815,25,42143018,44074073,42,0.30676
6,8236,8260,25,74378643,78561987,74,0.29849
25,26150,26174,25,40862647,42851121,40,0.29847
22,24270,24294,25,56943056,58748602,56,0.29147
3,3551,3575,25,15145012,18607477,15,0.28949
6,8607,8631,25,108135281,109719477,108,0.28805
10,13101,13125,25,53080510,55323184,53,0.28564
18,20756,20780,25,23762816,25653308,23,0.28453
19,21787,21811,25,49627477,51478494,49,0.28444
1,1204,1228,25,103623793,106365182,103,0.28274
28,27679,27703,25,29232773,32629221,29,0.28048
3,3730,3754,25,33741850,35995151,33,0.28042
14,17188,17212,25,31446697,33832243,31,0.27808
6,7835,7859,25,40355102,41890785,40,0.27572
26,26189,26213,25,2648036,4600968,2,0.27561
26,26378,26402,25,18882047,20365711,18,0.2728
6,7989,8013,25,51624757,54137247,51,0.27166
10,13224,13248,25,65106884,68089016,65,0.27128
14,17102,17126,25,23853811,25857110,23,0.27037
7,8910,8934,25,13279972,15393049,13,0.26814
8,11077,11101,25,90412852,92792703,90,0.26804
27,26978,27002,25,17918325,19464406,17,0.26343
10,12781,12805,25,26141254,28012423,26,0.25996
20,22769,22793,25,65270746,67183813,65,0.25955
3,3646,3670,25,26278487,28188297,26,0.25949
5,6374,6398,25,11800467,15024272,11,0.25648
4,5273,5297,25,41610894,44177870,41,0.25411
22,23831,23855,25,16470040,18247196,16,0.25365
10,12924,12948,25,38884419,41389231,38,0.25015
10,13391,13415,25,82030321,84239548,82,0.24589
10,13618,13642,25,98460121,100133280,98,0.24548
10,13473,13497,25,88035301,89494230,88,0.24504
9,12254,12278,25,87008260,88693128,87,0.244
17,19751,19775,25,14080531,15973860,14,0.24335
3,4467,4491,25,97533858,98978974,97,0.23968
2,2279,2303,25,29699653,31112142,29,0.2396
21,22870,22894,25,2749974,5892594,2,0.23747
28,27556,27580,25,19236396,21696826,19,0.23714
11,14825,14849,25,98933313,100810072,98,0.23558
21,23586,23610,25,68194734,70089833,68,0.23448
9,11657,11681,25,27965979,30263355,27,0.23434
7,9684,9708,25,79840335,81668727,79,0.23344
8,10803,10827,25,66820951,69276022,66,0.23173
13,16202,16226,25,34851781,36480046,34,0.23109
5,6926,6950,25,76479355,78886080,76,0.23071
28,27466,27490,25,11897521,14442380,11,0.23033
5,7144,7168,25,102174236,105189569,102,0.22839
10,13292,13316,25,71591199,74701672,71,0.22459
