BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
14,17102,17126,25,23853811,25857110,23,1.50994
22,23835,23859,25,16696579,18391209,16,0.9965
9,12345,12369,25,93884361,95625955,93,0.64037
27,27186,27210,25,34943234,36342691,34,0.59136
1,175,199,25,16963232,19829143,16,0.56181
10,12557,12581,25,5934534,8255705,5,0.47916
7,9029,9053,25,24014128,26155472,24,0.44951
9,11861,11885,25,49423844,51153579,49,0.44169
27,26945,26969,25,15816386,17297967,15,0.43354
27,27294,27318,25,42466128,43851804,42,0.42598
22,24265,24289,25,56711180,58347597,56,0.41598
24,25025,25049,25,6860164,8293809,6,0.41299
19,21585,21609,25,34319757,36058250,34,0.40586
5,7139,7163,25,101788321,104923011,101,0.40246
12,14993,15017,25,5924378,9273807,5,0.40056
21,22909,22933,25,7784939,9715283,7,0.39526
28,27347,27371,25,717380,4041876,0,0.39526
15,18050,18074,25,30685947,32203235,30,0.39375
12,15268,15292,25,34262872,36335510,34,0.3873
1,835,859,25,71229187,73404401,71,0.37855
3,4012,4036,25,62689947,64442549,62,0.37387
3,4434,4458,25,94856229,96790306,94,0.37043
10,13107,13131,25,53661155,55773163,53,0.36917
13,16616,16640,25,67994235,70656675,67,0.36514
14,16886,16910,25,5795431,7589670,5,0.34845
23,24708,24732,25,34231434,37063747,34,0.33757
20,22113,22137,25,7626481,9172033,7,0.33643
18,21024,21048,25,46915673,48747276,46,0.33587
16,19169,19193,25,50183192,51811400,50,0.33379
26,26195,26219,25,3308703,5050225,3,0.33186
5,6248,6272,25,3193766,4698476,3,0.32387
17,20264,20288,25,61248541,62504788,61,0.31353
2,2277,2301,25,29509798,31050929,29,0.30932
1,142,166,25,13979316,16308714,13,0.30427
5,6282,6306,25,5345488,6859970,5,0.30191
25,26052,26076,25,34144055,35429971,34,0.30139
1,957,981,25,82261456,84269107,82,0.3005
16,19042,19066,25,36891801,38325971,36,0.30023
8,10876,10900,25,74018852,76353681,74,0.29774
3,3551,3575,25,15145012,18607477,15,0.29648
6,7656,7680,25,21126480,23408172,21,0.29566
4,4799,4823,25,565142,4138532,0,0.29446
9,12047,12071,25,64207421,66183555,64,0.29016
13,16269,16293,25,39961667,41952009,39,0.28976
11,13770,13794,25,3803359,5389716,3,0.28842
7,8859,8883,25,5352670,6475003,5,0.28676
3,3924,3948,25,53363656,57173183,53,0.28466
4,4877,4901,25,8311870,10000800,8,0.28354
28,27673,27697,25,28660577,31960726,28,0.2766
29,28144,28168,25,25036795,27465875,25,0.27638
3,3762,3786,25,37005589,39978795,37,0.27334
1,1204,1228,25,103623793,106365182,103,0.27298
14,17268,17292,25,41414578,44291954,41,0.27239
5,6922,6946,25,76200813,78485764,76,0.26907
15,17862,17886,25,16721338,19059568,16,0.26566
3,3879,3903,25,48207674,50341876,48,0.26536
11,13824,13848,25,7407191,8763389,7,0.26373
15,17803,17827,25,10700852,13306889,10,0.2552
28,27826,27850,25,42135043,43642378,42,0.25289
27,27236,27260,25,37923186,39688231,37,0.2512
6,8539,8563,25,103307689,104939658,103,0.25077
9,11806,11830,25,41125489,44815699,41,0.25068
24,25334,25358,25,33581573,35667926,33,0.24939
27,27142,27166,25,31337533,32960445,31,0.24854
25,25999,26023,25,30612098,32575148,30,0.24792
16,18837,18861,25,17993755,20663521,17,0.24698
7,8914,8938,25,13468083,15893312,13,0.246
1,1256,1280,25,109032560,110720832,109,0.24447
4,6168,6192,25,118376145,119726978,118,0.24432
2,2702,2726,25,67130856,68769557,67,0.24297
24,25055,25079,25,8786037,10812124,8,0.24159
4,6131,6155,25,115775029,117571480,115,0.24068
20,22492,22516,25,42779370,45266553,42,0.23984
14,17346,17370,25,48890778,50874869,48,0.23859
7,8990,9014,25,20631252,22996615,20,0.23822
8,10422,10446,25,34610579,36984776,34,0.23773
2,1908,1932,25,1164256,2966881,1,0.23713
5,7191,7215,25,107220093,108417126,107,0.23641
20,22056,22080,25,4425557,5701965,4,0.23616
12,15331,15355,25,45002070,46917339,45,0.23149
21,22866,22890,25,2461217,5478138,2,0.2312
18,20661,20685,25,16515915,18267940,16,0.22988
5,7072,7096,25,92955993,96623157,92,0.22757
4,5789,5813,25,85904999,87770622,85,0.21928
23,24900,24924,25,49838717,51241585,49,0.2192
24,25465,25489,25,45735897,47880145,45,0.21829
6,7693,7717,25,24495145,26706330,24,0.21826
11,13945,13969,25,15814741,17484533,15,0.2178
17,20290,20314,25,62592605,64576912,62,0.21762
2,2214,2238,25,25359234,27266773,25,0.21733
16,19196,19220,25,52305937,54347701,52,0.21543
1,996,1020,25,86029442,87941018,86,0.2134
22,23896,23920,25,21431682,24078956,21,0.21334
10,12694,12718,25,16432723,18230679,16,0.2113
20,22570,22594,25,50197562,52124199,50,0.21114
18,20921,20945,25,38543236,40502223,38,0.21063
1,717,741,25,61777879,63491880,61,0.20995
16,18993,19017,25,33231242,34994367,33,0.20648
10,12625,12649,25,12412780,13606664,12,0.2053
15,18182,18206,25,41383202,42949577,41,0.20433
12,15438,15462,25,52463410,53654325,52,0.20328
25,25955,25979,25,26867622,29172875,26,0.20275
29,28035,28059,25,14351076,17051937,14,0.20274
23,24805,24829,25,43088897,45048666,43,0.20225
3,4475,4499,25,98085843,99499215,98,0.20216
4,5086,5110,25,25341067,26955066,25,0.20029
4,5581,5605,25,68140952,70508946,68,0.19978
24,24938,24962,25,632760,2186221,0,0.19841
5,6433,6457,25,20903150,23516860,20,0.19832
2,2154,2178,25,21246316,23091680,21,0.19814
16,18865,18889,25,20962779,23108285,20,0.19722
7,9879,9903,25,97898940,100715757,97,0.19636
2,2065,2089,25,14713525,16087638,14,0.19344
13,16704,16728,25,75240419,76865730,75,0.19311
17,19622,19646,25,4423257,6066986,4,0.19219
12,15760,15784,25,85206411,86725371,85,0.19133
15,17957,17981,25,24563671,26224828,24,0.1912
27,27076,27100,25,25501920,27345322,25,0.19109
22,23800,23824,25,14056517,15751257,14,0.19068
3,3597,3621,25,21371931,23206319,21,0.19048
3,3720,3744,25,32944221,34847957,32,0.19008
19,21303,21327,25,10085159,12669286,10,0.19006
1,1078,1102,25,93279488,95608009,93,0.18942
7,8828,8852,25,3161049,4729265,3,0.18601
3,4628,4652,25,108528219,110137012,108,0.18583
11,13710,13734,25,700120,1901787,0,0.18445
9,12205,12229,25,82355820,83837068,82,0.18438
11,14805,14829,25,97092757,99313703,97,0.1842
4,4937,4961,25,12678906,15029333,12,0.18361
5,6346,6370,25,9652848,11398812,9,0.18307
20,22087,22111,25,6206683,7543450,6,0.18291
3,4332,4356,25,87669013,89193591,87,0.18208
22,24214,24238,25,52955533,55156974,52,0.18076
