BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
3,4011,4035,25,62668669,64428546,62,0.74173
24,25245,25269,25,27444828,28907154,27,0.69942
26,26498,26522,25,28368749,29896827,28,0.57965
2,1964,1988,25,5037866,7125831,5,0.55007
2,1922,1946,25,1926143,3860379,1,0.53139
24,25334,25358,25,33581573,35667926,33,0.50086
5,6920,6944,25,75933509,78158838,75,0.48311
13,16266,16290,25,39602766,41414256,39,0.45325
1,1257,1281,25,109079423,110781251,109,0.40626
11,14573,14597,25,73014799,75760570,73,0.40386
6,7521,7545,25,11708937,13318510,11,0.40357
5,7243,7267,25,110320607,112045991,110,0.40049
3,3551,3575,25,15145012,18607477,15,0.3932
28,27799,27823,25,40343865,41996812,40,0.38903
11,14363,14387,25,51893364,55531725,51,0.37375
9,12205,12229,25,82355820,83837068,82,0.36955
26,26463,26487,25,26058953,27419209,26,0.3657
9,12108,12132,25,71785036,74722894,71,0.36508
3,4529,4553,25,101636723,102810330,101,0.35967
5,6562,6586,25,34446901,37804312,34,0.34757
21,22990,23014,25,14127028,16504551,14,0.34717
19,21939,21963,25,59360869,60920828,59,0.34399
27,27183,27207,25,34731324,36155097,34,0.34389
24,25025,25049,25,6860164,8293809,6,0.33477
1,773,797,25,65624310,67814251,65,0.33384
26,26195,26219,25,3308703,5050225,3,0.33217
6,8176,8200,25,69026906,71910076,69,0.33126
14,16913,16937,25,7774329,9845820,7,0.32783
5,6432,6456,25,20609872,23483262,20,0.3258
27,26945,26969,25,15816386,17297967,15,0.32571
23,24911,24935,25,50688170,51991897,50,0.32433
14,16888,16912,25,5903806,7718808,5,0.32274
9,11394,11418,25,2981577,5079903,2,0.32197
19,21416,21440,25,19373322,21686395,19,0.31637
3,4624,4648,25,108355081,110014389,108,0.31316
18,20609,20633,25,10890595,12455560,10,0.31224
18,20874,20898,25,34666281,36895563,34,0.30958
17,19669,19693,25,7756498,9753430,7,0.30218
16,19215,19239,25,53976478,56715642,53,0.29974
11,14205,14229,25,35988982,37783495,35,0.29747
5,6893,6917,25,74062827,75684520,74,0.29027
6,8602,8626,25,107882431,109282748,107,0.28777
9,12344,12368,25,93731471,95591202,93,0.2866
11,13822,13846,25,7296877,8615231,7,0.28327
22,23831,23855,25,16470040,18247196,16,0.28035
1,174,198,25,16923285,19778380,16,0.278
1,34,58,25,2749920,4282516,2,0.27673
9,12021,12045,25,61292190,64130815,61,0.27532
19,21454,21478,25,22901879,24812617,22,0.27089
4,6065,6089,25,111047303,112594246,111,0.27087
6,7791,7815,25,35922378,38825835,35,0.27073
14,17435,17459,25,58262807,60333729,58,0.2665
1,984,1008,25,84559546,86968922,84,0.26643
1,724,748,25,62607089,64301934,62,0.26384
26,26267,26291,25,9195089,10995721,9,0.26238
11,14547,14571,25,70363411,72940410,70,0.25767
1,947,971,25,81656974,83154570,81,0.2553
4,4982,5006,25,16714670,18926575,16,0.25235
19,21585,21609,25,34319757,36058250,34,0.25095
21,23269,23293,25,39001139,41188230,39,0.25062
1,805,829,25,68227488,70481556,68,0.2499
5,6528,6552,25,30912029,33611572,30,0.24534
25,26150,26174,25,40862647,42851121,40,0.24471
8,10919,10943,25,77514377,79460414,77,0.24363
14,17139,17163,25,26836013,29246158,26,0.24208
26,26404,26428,25,20444634,22557427,20,0.24192
11,14289,14313,25,44967763,47116171,44,0.24184
7,9192,9216,25,37091539,38836622,37,0.23805
16,18986,19010,25,32681586,34606531,32,0.23679
3,3593,3617,25,20652293,22674353,20,0.23608
20,22050,22074,25,4145679,5347594,4,0.23539
6,7673,7697,25,22650675,24664967,22,0.23415
8,10417,10441,25,34281082,36293755,34,0.23298
6,8471,8495,25,98879044,100428424,98,0.23197
13,16454,16478,25,56159653,57693460,56,0.23163
23,24708,24732,25,34231434,37063747,34,0.23162
28,27341,27365,25,77680,3637555,0,0.23161
5,6594,6618,25,38701654,40868010,38,0.22973
4,5273,5297,25,41610894,44177870,41,0.22698
11,13763,13787,25,3557549,5095286,3,0.22684
13,16102,16126,25,25254394,27013737,25,0.22646
27,27237,27261,25,38025744,39783292,38,0.22473
15,18558,18582,25,74237858,75863003,74,0.22455
1,120,144,25,9900095,14260986,9,0.22436
15,18154,18178,25,38251520,40767236,38,0.22351
11,14809,14833,25,97289960,99851239,97,0.22319
28,27831,27855,25,42376459,43815607,42,0.22292
2,2815,2839,25,78280305,80426417,78,0.22026
15,18599,18623,25,76729776,79022266,76,0.22006
1,539,563,25,46595049,48726549,46,0.21876
9,11861,11885,25,49423844,51153579,49,0.21759
23,24446,24470,25,10688252,12548841,10,0.21672
16,19172,19196,25,50419718,52305937,50,0.21494
5,7360,7384,25,118797715,120420253,118,0.2144
28,27668,27692,25,28385256,31197813,28,0.21375
28,27577,27601,25,21256068,23829443,21,0.21211
6,8213,8237,25,72969608,74434558,72,0.21189
15,17810,17834,25,11395733,13828128,11,0.21186
20,22573,22597,25,50676182,52674980,50,0.21155
15,17852,17876,25,15908105,17457200,15,0.20808
8,10781,10805,25,64244606,66979816,64,0.20709
4,5388,5412,25,51726432,53857273,51,0.20454
12,15807,15831,25,88319342,90243573,88,0.20426
3,4456,4480,25,96729115,98306933,96,0.20343
11,14699,14723,25,86242159,88416017,86,0.20315
2,2287,2311,25,30131000,31671085,30,0.20215
20,22669,22693,25,58405641,60109496,58,0.20149
5,6402,6426,25,15176813,19494122,15,0.20119
23,24810,24834,25,43497286,45368338,43,0.20028
10,12525,12549,25,3250458,5392944,3,0.19924
3,4067,4091,25,66653007,68078177,66,0.19813
3,3954,3978,25,58003570,60412931,58,0.19625
2,1893,1917,25,238962,1524538,0,0.19546
11,13952,13976,25,16230481,17914834,16,0.19515
10,12913,12937,25,37793494,40294545,37,0.19373
13,16413,16437,25,52241778,54464448,52,0.19273
24,25420,25444,25,40524759,42665926,40,0.19151
20,22372,22396,25,33336375,35334580,33,0.19132
2,3199,3223,25,121992956,123795837,121,0.18963
9,11641,11665,25,25793691,28400169,25,0.1892
22,23752,23776,25,9980613,11901294,9,0.18904
10,13106,13130,25,53351901,55751369,53,0.18895
8,10947,10971,25,79614032,82016661,79,0.1889
8,10724,10748,25,59805132,61536940,59,0.18846
2,2014,2038,25,9003563,11755807,9,0.18758
6,8362,8386,25,90902316,92309468,90,0.18746
12,15385,15409,25,49006756,50676062,49,0.18742
21,23033,23057,25,18100136,19983053,18,0.18699
26,26527,26551,25,30209142,32213121,30,0.18686
4,5302,5326,25,44570670,46084089,44,0.18631
27,27096,27120,25,27020503,29486131,27,0.18552
17,19579,19603,25,562366,2904301,0,0.18503
23,24481,24505,25,13423541,14926099,13,0.18435
12,15467,15491,25,53960037,55438943,53,0.18297
3,4566,4590,25,104249570,106096905,104,0.18292
9,11440,11464,25,7241264,9555330,7,0.1826
25,25999,26023,25,30612098,32575148,30,0.18112
8,10288,10312,25,22084349,24326412,22,0.18087
