BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
19,21864,21888,25,54674498,56300082,54,0.82782
5,7243,7267,25,110320607,112045991,110,0.81496
2,1964,1988,25,5037866,7125831,5,0.6251
17,19677,19701,25,8562796,10140780,8,0.53819
18,20609,20633,25,10890595,12455560,10,0.51578
4,5271,5295,25,41407058,43763107,41,0.50241
1,356,380,25,32961952,34492226,32,0.48516
16,18932,18956,25,28557616,30682132,28,0.47636
6,8193,8217,25,71073768,73092782,71,0.46883
24,25239,25263,25,26852308,28522164,26,0.46095
2,1911,1935,25,1247436,3172895,1,0.45807
9,12205,12229,25,82355820,83837068,82,0.4484
9,12020,12044,25,61237569,64109435,61,0.44294
15,18047,18071,25,30573210,32068089,30,0.41655
10,12913,12937,25,37793494,40294545,37,0.40319
15,18151,18175,25,38078775,40530772,38,0.40302
11,14297,14321,25,45736640,47941230,45,0.39763
1,773,797,25,65624310,67814251,65,0.39318
4,4846,4870,25,6470892,7736057,6,0.3906
19,21787,21811,25,49627477,51478494,49,0.3855
3,4063,4087,25,66486992,67924884,66,0.37553
29,28302,28326,25,37749427,40758893,37,0.37122
21,22992,23016,25,14280156,16758470,14,0.37058
2,1937,1961,25,3242217,4921527,3,0.36963
26,26498,26522,25,28368749,29896827,28,0.36785
6,7524,7548,25,12044622,13502824,12,0.36529
21,23164,23188,25,29326891,31035761,29,0.36486
3,4624,4648,25,108355081,110014389,108,0.359
5,6917,6941,25,75684520,77413005,75,0.34662
3,4516,4540,25,100635895,102056606,100,0.33262
14,16913,16937,25,7774329,9845820,7,0.32315
11,13745,13769,25,2545204,3765380,2,0.32172
11,14362,14386,25,51784891,55496607,51,0.32166
19,21937,21961,25,59147851,60637541,59,0.32078
7,10019,10043,25,110791024,111973235,110,0.30963
18,20866,20890,25,34049189,35638202,34,0.30819
4,4982,5006,25,16714670,18926575,16,0.30648
5,6593,6617,25,38516646,40762830,38,0.29092
8,10060,10084,25,571625,3046464,0,0.28862
16,19421,19445,25,71249045,72962506,71,0.28635
8,11124,11148,25,94358932,96294159,94,0.28443
4,5563,5587,25,66649741,68599650,66,0.28332
16,18733,18757,25,4305200,8868238,4,0.28274
1,1673,1697,25,143379850,144758824,143,0.2816
18,20733,20757,25,22300133,23792727,22,0.2803
27,27060,27084,25,24273840,26096787,24,0.27893
12,15804,15828,25,88162862,90101327,88,0.27444
20,22456,22480,25,39927454,41478242,39,0.27368
6,8257,8281,25,78289101,81042351,78,0.27318
9,11843,11867,25,46662943,49899443,46,0.27185
3,4275,4299,25,83692702,85388059,83,0.27023
8,10351,10375,25,27710954,29915312,27,0.27007
26,26534,26558,25,30815555,32670961,30,0.26276
25,25796,25820,25,13113762,15035075,13,0.26199
20,22036,22060,25,2491375,4618689,2,0.25716
25,26048,26072,25,33958794,35280667,33,0.25684
4,5876,5900,25,92822666,95043917,92,0.25607
8,10417,10441,25,34281082,36293755,34,0.25564
25,26129,26153,25,39286957,41100355,39,0.25554
7,9004,9028,25,22114622,23937259,22,0.25195
10,13386,13410,25,81695290,83613368,81,0.25183
27,26942,26966,25,15699193,17086309,15,0.25161
9,11377,11401,25,1658328,3524770,1,0.25151
14,17138,17162,25,26800529,29161409,26,0.24877
3,4374,4398,25,89918282,91557958,89,0.24794
25,25714,25738,25,5860370,8165854,5,0.24641
3,3818,3842,25,42815457,44959256,42,0.24463
25,25748,25772,25,9361223,11248699,9,0.24423
9,11817,11841,25,42875324,46531368,42,0.2434
3,4120,4144,25,69716313,71563255,69,0.24327
6,8471,8495,25,98879044,100428424,98,0.24236
10,13119,13143,25,54635388,56638876,54,0.24193
23,24911,24935,25,50688170,51991897,50,0.24094
5,6413,6437,25,16545450,21389684,16,0.24007
23,24502,24526,25,14769068,16697867,14,0.23989
18,20926,20950,25,39204491,40905255,39,0.23982
20,22088,22112,25,6233716,7601770,6,0.23847
13,16345,16369,25,46181219,47397987,46,0.23603
11,14805,14829,25,97092757,99313703,97,0.23278
22,23637,23661,25,1319636,3073232,1,0.23241
1,801,825,25,68023878,69690407,68,0.23136
7,9128,9152,25,31779090,33572841,31,0.22905
7,9894,9918,25,99215474,102658777,99,0.22864
20,22669,22693,25,58405641,60109496,58,0.22677
11,14205,14229,25,35988982,37783495,35,0.22642
2,3199,3223,25,121992956,123795837,121,0.22389
19,21466,21490,25,23628220,25322120,23,0.2224
1,31,55,25,2645246,4029125,2,0.22165
25,26154,26174,21,41191025,42851121,41,0.22156
6,7787,7811,25,35648890,38576012,35,0.22138
22,24148,24172,25,46969215,48603179,46,0.22136
7,8979,9003,25,19827852,21972429,19,0.21769
3,4030,4054,25,64071923,65848664,64,0.21754
7,9959,9983,25,106927241,108478047,106,0.2158
13,16198,16222,25,34017769,36079542,34,0.21452
12,15385,15409,25,49006756,50676062,49,0.21315
24,25019,25043,25,6309265,7926959,6,0.21094
27,27099,27123,25,27307126,30025162,27,0.20964
6,8144,8168,25,66235480,67752994,66,0.20894
27,26874,26898,25,11514345,13065744,11,0.20734
1,546,570,25,47102513,49318678,47,0.20645
1,874,898,25,75146323,77248361,75,0.20619
19,21251,21275,25,5581361,7940557,5,0.20588
28,27456,27480,25,10511817,13589307,10,0.20585
27,27185,27209,25,34904207,36285734,34,0.20566
6,7489,7513,25,9611905,11231957,9,0.20437
