BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
26,26404,26428,25,20444634,22557427,20,2.48226
19,21591,21615,25,34836416,36437188,34,1.08298
4,5303,5327,25,44612810,46138975,44,0.8472
9,11393,11417,25,2934964,5045079,2,0.65805
26,26463,26487,25,26058953,27419209,26,0.56622
10,12984,13008,25,44417569,45941254,44,0.54206
23,24858,24882,25,47198837,48910189,47,0.54043
10,12561,12585,25,6373370,8675119,6,0.48988
6,8035,8059,25,55616565,58473731,55,0.47258
5,6801,6825,25,65184723,68294607,65,0.46488
14,17048,17072,25,19316702,21559712,19,0.44121
26,26431,26455,25,22913016,25407197,22,0.43471
14,17130,17154,25,26196375,28201349,26,0.42583
3,3551,3575,25,15145012,18607477,15,0.39837
10,12692,12716,25,16326848,18086840,16,0.39584
13,16729,16753,25,76932968,78184563,76,0.38535
5,7253,7277,25,111380409,112686649,111,0.38281
7,9268,9292,25,42052923,43884451,42,0.38189
12,15444,15468,25,52767067,53986983,52,0.36796
11,14176,14200,25,32954702,35473575,32,0.36343
2,2278,2302,25,29591727,31080979,29,0.3613
17,19687,19711,25,9392845,10703771,9,0.35808
13,16622,16646,25,68688618,70893423,68,0.35178
22,24257,24281,25,56285538,57642429,56,0.3452
10,13334,13358,25,77105887,79496312,77,0.34108
26,26378,26402,25,18882047,20365711,18,0.33072
27,27185,27209,25,34904207,36285734,34,0.32453
23,24886,24910,25,49135538,50599646,49,0.31459
2,1933,1957,25,3046092,4650209,3,0.3083
3,3720,3744,25,32944221,34847957,32,0.30683
8,10173,10197,25,10488006,12941925,10,0.30674
5,7294,7318,25,114290454,116005043,114,0.29799
10,12626,12650,25,12486527,13641088,12,0.29667
23,24786,24810,25,41816233,43497286,41,0.29592
1,22,46,25,1782724,3343059,1,0.29421
5,6913,6937,25,75417666,77095345,75,0.28637
8,11096,11120,25,92485682,94115663,92,0.28302
6,7879,7903,25,43303952,45052429,43,0.28259
27,26978,27002,25,17918325,19464406,17,0.27961
15,17857,17881,25,16167972,18461961,16,0.279
14,17194,17218,25,31853480,34352081,31,0.27741
10,12586,12610,25,8711277,11534325,8,0.27697
10,13101,13125,25,53080510,55323184,53,0.26781
12,15304,15328,25,38660049,44133597,38,0.26766
5,7144,7168,25,102174236,105189569,102,0.26167
2,2347,2371,25,34118200,36393032,34,0.26013
27,27294,27318,25,42466128,43851804,42,0.2568
24,25547,25571,25,53531725,56197050,53,0.25636
26,26332,26356,25,14912765,16945938,14,0.25565
22,24311,24335,25,59984067,61258859,59,0.25427
4,5415,5439,25,54083960,56547180,54,0.25261
18,20647,20671,25,14058919,17048434,14,0.252
2,2154,2178,25,21246316,23091680,21,0.25144
11,13828,13852,25,7540560,8978766,7,0.25066
9,12340,12364,25,93430532,95328754,93,0.24948
19,21787,21811,25,49627477,51478494,49,0.24939
8,11159,11183,25,97023025,99138604,97,0.24839
20,22050,22074,25,4145679,5347594,4,0.24797
9,12254,12278,25,87008260,88693128,87,0.24747
16,18894,18918,25,24014992,27334730,24,0.24708
1,1862,1886,25,156678040,157970916,156,0.24593
18,20756,20780,25,23762816,25653308,23,0.24532
6,8068,8092,25,59674745,61905913,59,0.24458
26,26672,26696,25,43211435,45010453,43,0.2426
26,26189,26213,25,2648036,4600968,2,0.24208
5,7322,7346,25,116420609,118089275,116,0.2419
25,26150,26174,25,40862647,42851121,40,0.24182
6,8630,8654,25,109682953,110983795,109,0.24024
24,25156,25180,25,18599946,20995393,18,0.23916
14,17447,17471,25,59280392,61213865,59,0.23859
20,22209,22233,25,16269833,17837675,16,0.23852
3,3585,3609,25,19666876,22148716,19,0.23823
8,11284,11308,25,106611663,108935730,106,0.23697
20,22773,22797,25,65637410,67655585,65,0.23591
19,21496,21520,25,25743113,28450297,25,0.23493
12,15268,15292,25,34262872,36335510,34,0.23488
3,4622,4646,25,108189998,109858507,108,0.23315
6,7501,7525,25,10609153,12119048,10,0.23246
5,6756,6780,25,58638702,62435307,58,0.23193
7,9618,9642,25,74476430,75830763,74,0.23055
18,20610,20634,25,10931741,12620198,10,0.23035
2,3006,3030,25,106526130,108369627,106,0.23002
24,25028,25052,25,7192353,8605493,7,0.22494
1,823,847,25,69620870,72442882,69,0.22315
10,12924,12948,25,38884419,41389231,38,0.2214
1,1678,1702,25,143615536,145222792,143,0.22106
7,9694,9718,25,80403492,82419764,80,0.22052
15,18044,18068,25,30409179,31984513,30,0.2182
15,18272,18296,25,48606085,52415557,48,0.21789
3,4467,4491,25,97533858,98978974,97,0.21683
9,11713,11737,25,32606924,34405240,32,0.2164
24,25615,25639,25,60058862,61918390,60,0.21597
25,26052,26076,25,34144055,35429971,34,0.21359
6,8601,8625,25,107742938,109209793,107,0.21336
10,13472,13496,25,87992789,89447461,87,0.21315
1,1127,1151,25,97642612,99374603,97,0.21247
28,27673,27697,25,28660577,31960726,28,0.21219
14,17666,17690,25,80177772,82991915,80,0.21077
26,26488,26512,25,27497280,29388641,27,0.21031
10,13369,13393,25,80746402,82261121,80,0.20995
7,9891,9915,25,98907404,102398654,98,0.20706
24,25493,25517,25,48528178,50568228,48,0.20599
9,11651,11675,25,27308839,29292408,27,0.20513
1,686,710,25,59796999,61450475,59,0.20408
6,7757,7781,25,31570212,34686041,31,0.20369
22,24225,24249,25,54103673,55770123,54,0.20296
25,26117,26141,25,38232904,40376753,38,0.20293
7,8996,9020,25,21321599,23498152,21,0.20264
17,19753,19777,25,14167323,16070807,14,0.2019
21,23122,23146,25,25274580,27506924,25,0.20145
12,15134,15158,25,18584913,22301586,18,0.20113
17,19789,19813,25,17378423,19109434,17,0.20112
22,24145,24169,25,46751219,48406016,46,0.20095
18,20804,20828,25,27121621,29795214,27,0.20027
5,6636,6660,25,42528376,44187145,42,0.20025
4,6030,6054,25,107540967,109887827,107,0.19957
17,19860,19884,25,24442304,26986219,24,0.19874
2,3105,3129,25,113946668,115122795,113,0.19835
5,7115,7139,25,98693360,101788321,98,0.19801
14,17488,17512,25,62650972,64151328,62,0.19771
6,7403,7427,25,1125213,3430045,1,0.19747
1,764,788,25,65203417,67212088,65,0.19625
22,23832,23856,25,16531187,18298289,16,0.19609
19,21351,21375,25,15170598,16539982,15,0.19542
9,12056,12080,25,64899782,67244999,64,0.19525
21,23226,23250,25,35564875,37462320,35,0.19286
29,27954,27978,25,6976219,9160939,6,0.19229
23,24688,24712,25,32287468,34758497,32,0.19184
3,3441,3465,25,4180412,5909921,4,0.18775
6,8495,8519,25,100428424,101749615,100,0.18717
23,24624,24648,25,24873758,28087630,24,0.18646
22,24282,24306,25,57730808,59712580,57,0.18593
6,8350,8374,25,89772651,91485845,89,0.1841
4,6109,6133,25,114396713,116013931,114,0.18346
21,22868,22892,25,2642904,5690539,2,0.18335
6,7706,7730,25,25356965,28462736,25,0.18324
3,4365,4389,25,89516613,90669666,89,0.18248
21,23270,23294,25,39148898,41305092,39,0.18246
15,18407,18431,25,62002976,64214143,62,0.18187
28,27393,27417,25,5876902,7495691,5,0.18165
4,5827,5851,25,89470738,91417417,89,0.17979
5,6833,6857,25,68610818,71144630,68,0.1782
26,26297,26321,25,11528933,14155229,11,0.17788
