BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
14,17102,17126,25,23853811,25857110,23,0.78657
19,21585,21609,25,34319757,36058250,34,0.71383
24,25027,25051,25,7017169,8476559,7,0.5339
27,27295,27319,25,42518482,43901931,42,0.52301
22,23833,23857,25,16614706,18320948,16,0.51508
16,19060,19084,25,37982355,40880683,37,0.50338
5,7065,7089,25,91631114,95491399,91,0.48486
15,17861,17885,25,16416329,19025669,16,0.47348
1,835,859,25,71229187,73404401,71,0.45119
16,19152,19176,25,48426621,50670749,48,0.44885
16,19196,19220,25,52305937,54347701,52,0.44865
13,16626,16650,25,69124045,71271729,69,0.44414
3,3879,3903,25,48207674,50341876,48,0.41811
10,13099,13123,25,52933550,54766746,52,0.41637
27,27186,27210,25,34943234,36342691,34,0.4094
9,12345,12369,25,93884361,95625955,93,0.40856
1,175,199,25,16963232,19829143,16,0.40329
10,12557,12581,25,5934534,8255705,5,0.40015
3,3551,3575,25,15145012,18607477,15,0.39935
15,18050,18074,25,30685947,32203235,30,0.39522
3,4012,4036,25,62689947,64442549,62,0.38084
5,7139,7163,25,101788321,104923011,101,0.37207
17,20286,20310,25,62373110,64281632,62,0.37188
25,26051,26075,25,34112565,35368558,34,0.36785
1,1078,1102,25,93279488,95608009,93,0.35378
24,25334,25358,25,33581573,35667926,33,0.34573
6,7654,7678,25,21034521,23148412,21,0.34183
3,3762,3786,25,37005589,39978795,37,0.33712
24,25055,25079,25,8786037,10812124,8,0.33599
9,11866,11890,25,49865815,51395314,49,0.33598
10,12770,12794,25,22056376,26826138,22,0.32877
10,13678,13702,25,102849006,104136694,102,0.32698
2,3006,3030,25,106526130,108369627,106,0.32068
27,27236,27260,25,37923186,39688231,37,0.32068
1,1191,1215,25,102538612,104344681,102,0.32003
7,8915,8939,25,13526016,15921536,13,0.31835
13,16269,16293,25,39961667,41952009,39,0.31727
23,24805,24829,25,43088897,45048666,43,0.31449
1,135,159,25,11865992,15677492,11,0.31155
3,3720,3744,25,32944221,34847957,32,0.30791
28,27347,27371,25,717380,4041876,0,0.3058
2,1908,1932,25,1164256,2966881,1,0.3053
4,6151,6175,25,117412387,119041474,117,0.30403
16,19030,19054,25,36135810,37667552,36,0.30231
22,24265,24289,25,56711180,58347597,56,0.29863
26,26473,26497,25,26598730,28331079,26,0.29697
15,17799,17823,25,9876776,12975036,9,0.29032
23,24861,24885,25,47430304,49094579,47,0.28251
