BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
9,12344,12368,25,93731471,95591202,93,0.75366
14,17102,17126,25,23853811,25857110,23,0.74744
2,1891,1915,25,189886,1406013,0,0.6669
15,17857,17881,25,16167972,18461961,16,0.5554
19,21585,21609,25,34319757,36058250,34,0.5495
27,27295,27319,25,42518482,43901931,42,0.54389
5,7056,7080,25,90408687,94496854,90,0.53643
22,23835,23859,25,16696579,18391209,16,0.53169
10,12561,12585,25,6373370,8675119,6,0.51954
7,8914,8938,25,13468083,15893312,13,0.51174
17,20275,20299,25,61788328,63415937,61,0.44874
23,24862,24886,25,47464804,49135538,47,0.43125
23,24805,24829,25,43088897,45048666,43,0.42064
25,26052,26076,25,34144055,35429971,34,0.40727
3,3551,3575,25,15145012,18607477,15,0.40083
16,19046,19070,25,37151009,38481520,37,0.39112
16,19207,19231,25,53554791,55689680,53,0.387
1,175,199,25,16963232,19829143,16,0.37758
28,27826,27850,25,42135043,43642378,42,0.37078
1,946,970,25,81623098,83132079,81,0.37048
6,8031,8055,25,55496362,57947092,55,0.36085
11,14573,14597,25,73014799,75760570,73,0.35706
1,1221,1245,25,105810391,108000927,105,0.35359
27,27185,27209,25,34904207,36285734,34,0.34583
26,26477,26501,25,26911622,28689705,26,0.34076
10,13678,13702,25,102849006,104136694,102,0.33534
9,11861,11885,25,49423844,51153579,49,0.33283
3,3596,3620,25,21146877,23053518,21,0.33055
12,14993,15017,25,5924378,9273807,5,0.32385
24,25028,25052,25,7192353,8605493,7,0.31658
17,19687,19711,25,9392845,10703771,9,0.30917
8,10918,10942,25,77432453,79414861,77,0.30241
14,17127,17151,25,25962036,27916840,25,0.29828
2,3006,3030,25,106526130,108369627,106,0.29373
17,19934,19958,25,31042083,33174415,31,0.29062
15,18050,18074,25,30685947,32203235,30,0.28974
26,26180,26204,25,1272307,3955269,1,0.28738
13,16634,16658,25,69929079,71713558,69,0.28323
2,2277,2301,25,29509798,31050929,29,0.28149
5,7254,7278,25,111420622,112775479,111,0.28066
27,27236,27260,25,37923186,39688231,37,0.27913
10,12528,12552,25,3343140,5540505,3,0.27864
19,21806,21830,25,51148913,52855192,51,0.27828
3,3879,3903,25,48207674,50341876,48,0.2779
1,1078,1102,25,93279488,95608009,93,0.27644
9,12478,12501,24,103777260,105587941,103,0.27617
11,13945,13969,25,15814741,17484533,15,0.27537
16,19169,19193,25,50183192,51811400,50,0.2733
5,7312,7336,25,115561004,117194638,115,0.27035
10,12992,13016,25,44821159,46598505,44,0.26962
6,8258,8282,25,78432720,81169373,78,0.26592
5,6283,6307,25,5375156,6976839,5,0.26397
1,835,859,25,71229187,73404401,71,0.26355
12,15247,15271,25,31555734,34554241,31,0.26153
14,16887,16911,25,5883219,7612098,5,0.25831
17,20300,20324,25,63480469,65071599,63,0.25292
6,7653,7677,25,20946932,23017006,20,0.25274
5,7082,7106,25,94645698,97490658,94,0.25141
