BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
19,21585,21609,25,34319757,36058250,34,0.97434
14,17118,17142,25,25401722,27155254,25,0.63265
13,16626,16650,25,69124045,71271729,69,0.52324
16,19056,19080,25,37748202,40371695,37,0.50135
24,25042,25066,25,7899310,9760206,7,0.49634
16,19161,19185,25,49134438,51095203,49,0.48388
15,18043,18067,25,30373278,31803631,30,0.47633
3,3879,3903,25,48207674,50341876,48,0.46816
27,27186,27210,25,34943234,36342691,34,0.46451
4,6151,6175,25,117412387,119041474,117,0.45317
3,3543,3567,25,14321565,16881296,14,0.4513
1,182,206,25,17504974,20503996,17,0.42904
1,835,859,25,71229187,73404401,71,0.42671
16,19196,19220,25,52305937,54347701,52,0.41743
2,3006,3030,25,106526130,108369627,106,0.38433
16,19429,19453,25,71886071,73332361,71,0.36511
14,17093,17117,25,23054179,25351733,23,0.3603
13,16568,16592,25,64399733,66179152,64,0.35479
5,7065,7089,25,91631114,95491399,91,0.34538
6,7655,7679,25,21102992,23183379,21,0.34162
1,1079,1103,25,93403653,95718992,93,0.33487
5,7122,7146,25,99154068,102855072,99,0.33457
27,27295,27319,25,42518482,43901931,42,0.33258
13,16269,16293,25,39961667,41952009,39,0.32966
26,26473,26497,25,26598730,28331079,26,0.32905
3,3720,3744,25,32944221,34847957,32,0.32258
2,1933,1957,25,3046092,4650209,3,0.3221
15,17858,17882,25,16218152,18507545,16,0.3193
10,12557,12581,25,5934534,8255705,5,0.31671
22,24265,24289,25,56711180,58347597,56,0.31649
10,12772,12796,25,22190416,26973237,22,0.31562
10,13099,13123,25,52933550,54766746,52,0.31362
15,17799,17823,25,9876776,12975036,9,0.3112
10,13678,13702,25,102849006,104136694,102,0.31064
27,27236,27260,25,37923186,39688231,37,0.30651
7,8920,8944,25,13686977,16491638,13,0.30214
13,16345,16369,25,46181219,47397987,46,0.30166
17,20264,20288,25,61248541,62504788,61,0.2976
9,12346,12370,25,93910957,95692242,93,0.29749
27,27159,27183,25,32541258,34731324,32,0.29309
2,1907,1931,25,1112333,2858436,1,0.29192
25,26051,26075,25,34112565,35368558,34,0.29158
5,7254,7278,25,111420622,112775479,111,0.28693
20,22663,22687,25,58111344,59627852,58,0.2833
5,6623,6647,25,41521945,43417275,41,0.28102
6,8143,8167,25,66209350,67721544,66,0.2736
10,12992,13016,25,44821159,46598505,44,0.27225
4,6107,6131,25,114302482,115775029,114,0.27194
1,135,159,25,11865992,15677492,11,0.27138
12,15346,15370,25,46159958,48042191,46,0.26951
5,6245,6269,25,2968571,4501932,2,0.26814
3,3908,3932,25,51245024,54031042,51,0.26442
14,17058,17082,25,20273115,22226073,20,0.258
11,14380,14404,25,55170733,57522675,55,0.25772
21,22873,22897,25,3061993,6129342,3,0.25745
4,5273,5297,25,41610894,44177870,41,0.25523
12,15268,15292,25,34262872,36335510,34,0.25133
19,21747,21771,25,46602301,48671543,46,0.24984
10,13228,13252,25,65877655,68324855,65,0.24973
4,5780,5804,25,85384769,86948025,85,0.24497
16,19403,19427,25,69990750,71582546,69,0.24474
5,6959,6983,25,79585561,82513431,79,0.24466
28,27393,27417,25,5876902,7495691,5,0.24405
6,7684,7708,25,23617252,25556469,23,0.24334
14,17342,17366,25,48679326,50485190,48,0.24225
25,25649,25673,25,138382,1737669,0,0.24211
21,22909,22933,25,7784939,9715283,7,0.24184
23,24446,24470,25,10688252,12548841,10,0.24149
8,10884,10908,25,74971186,76771728,74,0.24114
11,14807,14831,25,97199421,99774304,97,0.24087
1,1193,1217,25,102589009,105293236,102,0.24004
16,19239,19263,25,56715642,58543206,56,0.23715
2,2277,2301,25,29509798,31050929,29,0.2363
26,26195,26219,25,3308703,5050225,3,0.23517
11,14778,14802,25,94494230,96854128,94,0.23485
18,21023,21047,25,46875864,48719962,46,0.23253
5,6374,6398,25,11800467,15024272,11,0.23192
1,1584,1608,25,136210358,138330470,136,0.23123
19,21478,21502,25,24812617,26331593,24,0.23018
17,19622,19646,25,4423257,6066986,4,0.22944
4,5846,5870,25,91051469,92588608,91,0.22906
6,8256,8280,25,78259759,81019581,78,0.22877
22,23890,23914,25,21085263,23554117,21,0.22851
1,1145,1169,25,98986363,100432385,98,0.227
4,5057,5081,25,22549817,25048072,22,0.22654
10,13191,13215,25,60612673,64224480,60,0.22579
5,6892,6916,25,74010148,75627333,74,0.22494
27,26911,26935,25,13949422,15266193,13,0.22215
22,24053,24077,25,38902715,40726456,38,0.22187
11,14474,14498,25,63840544,66450428,63,0.21573
24,25334,25358,25,33581573,35667926,33,0.21379
6,7514,7538,25,11301952,13012206,11,0.21343
3,4012,4036,25,62689947,64442549,62,0.21276
7,9258,9282,25,41445679,43224755,41,0.21106
2,2199,2223,25,24472770,26212397,24,0.207
7,9618,9642,25,74476430,75830763,74,0.20699
7,8862,8886,25,5514300,6669157,5,0.20604
22,23863,23887,25,18730860,20591179,18,0.20564
25,25696,25720,25,4249133,6333623,4,0.20522
28,27347,27371,25,717380,4041876,0,0.20443
8,10173,10197,25,10488006,12941925,10,0.20424
8,11006,11030,25,85226911,86810388,85,0.204
29,27971,27995,25,8413548,10872370,8,0.2031
1,1234,1258,25,106802833,109099488,106,0.20276
27,26811,26835,25,3553169,7593356,3,0.19957
13,16694,16718,25,74391936,76078033,74,0.19921
17,20290,20314,25,62592605,64576912,62,0.19849
8,10941,10965,25,79314073,81573118,79,0.19826
12,15443,15467,25,52641232,53960037,52,0.19816
22,24097,24121,25,42202220,43949380,42,0.1975
12,14998,15022,25,6581473,9851720,6,0.19565
22,24192,24216,25,51087450,53125546,51,0.19548
18,20559,20583,25,7425496,9172680,7,0.19545
15,18494,18518,25,68515114,70850435,68,0.19501
24,25604,25628,25,58635630,61235733,58,0.19429
4,5917,5941,25,96486926,99542142,96,0.19388
18,20612,20636,25,11087325,12947633,11,0.19354
11,14178,14202,25,33143114,35684228,33,0.19252
17,19775,19799,25,15973860,18138707,15,0.19086
5,7191,7215,25,107220093,108417126,107,0.19021
3,4443,4467,25,95877445,97533858,95,0.1898
28,27826,27850,25,42135043,43642378,42,0.18914
26,26420,26444,25,21977581,23964078,21,0.18768
17,20433,20457,25,71818121,74123863,71,0.18688
14,17448,17472,25,59539237,61299549,59,0.18501
24,25465,25489,25,45735897,47880145,45,0.18476
16,19031,19055,25,36263412,37710632,36,0.18474
16,19473,19497,25,74532751,76332415,74,0.18369
1,701,725,25,60956897,62742180,60,0.18365
11,13824,13848,25,7407191,8763389,7,0.18265
6,8333,8357,25,88069548,90665860,88,0.18223
22,23831,23855,25,16470040,18247196,16,0.18139
23,24764,24788,25,40606753,41928622,40,0.1813
3,3762,3786,25,37005589,39978795,37,0.18124
14,17655,17679,25,78874656,81379203,78,0.18107
15,17921,17945,25,22298615,23738373,22,0.18101
27,26961,26985,25,16899895,18638810,16,0.18054
24,25386,25410,25,37621446,39694262,37,0.18029
4,4799,4823,25,565142,4138532,0,0.17927
1,991,1015,25,85294656,87664746,85,0.17808
2,3225,3249,25,123890726,125677712,123,0.17759
21,23157,23181,25,28283039,30706521,28,0.1775
8,10079,10103,25,1794446,4546756,1,0.17649
19,21276,21300,25,8028175,9354310,8,0.1747
1,939,963,25,81160609,82787221,81,0.17463
8,10422,10446,25,34610579,36984776,34,0.17408
24,24966,24990,25,2702058,3991319,2,0.17349
9,11988,12012,25,59182901,60673344,59,0.17345
5,7309,7333,25,115399602,116915398,115,0.17327
7,8990,9014,25,20631252,22996615,20,0.17219
11,14208,14232,25,36088191,38512409,36,0.17191
15,18137,18161,25,36950873,39096970,36,0.17181
2,2309,2333,25,31533028,33245068,31,0.17088
15,18538,18562,25,72751515,74461397,72,0.17061
23,24706,24730,25,33874418,37004511,33,0.16949
6,7743,7767,25,30298419,32732676,30,0.16901
13,16194,16218,25,33501056,35837395,33,0.16857
11,14741,14765,25,90388849,92729047,90,0.16753
1,1782,1806,25,150546427,152934177,150,0.16662
15,18289,18313,25,51528617,53757917,51,0.16622
3,3511,3535,25,10660524,13635591,10,0.16592
4,4848,4872,25,6696030,7942727,6,0.16546
28,27429,27453,25,8380329,10307792,8,0.16373
2,2154,2178,25,21246316,23091680,21,0.16351
20,22052,22076,25,4298545,5508730,4,0.16314
19,21613,21637,25,36364555,38059659,36,0.16235
19,21513,21537,25,27369763,29729113,27,0.16213
11,14348,14372,25,50307524,54417014,50,0.16137
5,6717,6741,25,51276764,55590501,51,0.16128
29,28194,28218,25,29052623,30743862,29,0.16068
1,808,832,25,68403441,70852215,68,0.16053
9,11866,11890,25,49865815,51395314,49,0.16045
15,18071,18095,25,32068089,33674612,32,0.16016
3,4126,4150,25,70190874,72122900,70,0.16008
8,11306,11330,25,108845583,111200914,108,0.15991
24,25014,25038,25,6047561,7753085,6,0.15989
23,24353,24377,25,2893723,4590972,2,0.15949
4,5200,5224,25,35939871,37409461,35,0.15851
26,26334,26358,25,15080711,17086237,15,0.15818
27,27014,27038,25,21054150,22811813,21,0.15778
16,19127,19151,25,46599711,48405692,46,0.15766
5,7022,7046,25,87843519,89512928,87,0.15761
24,25077,25101,25,10705866,11969012,10,0.15717
2,3036,3060,25,108549488,110139283,108,0.15595
4,4948,4972,25,13519803,15749339,13,0.15527
10,12735,12759,25,19494672,21198154,19,0.15513
14,17476,17500,25,61535356,63353353,61,0.15495
3,3573,3597,25,18520392,21371931,18,0.15469
15,18195,18219,25,42422247,43912856,42,0.1542
19,21439,21463,25,21569741,23397071,21,0.15419
8,10329,10353,25,25997609,27908523,25,0.1535
4,5377,5401,25,50322082,52823821,50,0.1534
1,384,408,25,34864497,36824286,34,0.1533
11,13705,13729,25,189568,1703612,0,0.15307
5,7225,7249,25,109208650,111079258,109,0.15304
20,22753,22777,25,64002006,65858630,64,0.15282
11,13770,13794,25,3803359,5389716,3,0.15281
20,22220,22244,25,16780563,18950015,16,0.1526
5,7094,7118,25,96266781,98837246,96,0.15224
11,14077,14101,25,24633643,27205004,24,0.15205
7,9552,9576,25,67399054,69833936,67,0.15177
23,24643,24667,25,27644218,30222836,27,0.15148
23,24805,24829,25,43088897,45048666,43,0.1511
29,28368,28392,25,44223148,46014507,44,0.15024
6,7605,7629,25,17416096,19390619,17,0.15012
10,12928,12952,25,39035263,41790011,39,0.15001
7,9646,9670,25,76199889,78307528,76,0.14983
13,15881,15905,25,2939325,5623697,2,0.1492
